countyFIPS,County Name,State,population
0,Statewide Unallocated,ID,0
16001,Ada County,ID,481587
16003,Adams County,ID,4294
16005,Bannock County,ID,87808
16007,Bear Lake County,ID,6125
16009,Benewah County,ID,9298
16011,Bingham County,ID,46811
16013,Blaine County,ID,23021
16015,Boise County,ID,7831
16017,Bonner County,ID,45739
16019,Bonneville County,ID,119062
16021,Boundary County,ID,12245
16023,Butte County,ID,2597
16025,Camas County,ID,1106
16027,Canyon County,ID,229849
16029,Caribou County,ID,7155
16031,Cassia County,ID,24030
16033,Clark County,ID,845
16035,Clearwater County,ID,8756
16037,Custer County,ID,4315
16039,Elmore County,ID,27511
16041,Franklin County,ID,13876
16043,Fremont County,ID,13099
16045,Gem County,ID,18112
16047,Gooding County,ID,15179
16049,Idaho County,ID,16667
16051,Jefferson County,ID,29871
16053,Jerome County,ID,24412
16055,Kootenai County,ID,165697
16057,Latah County,ID,40108
16059,Lemhi County,ID,8027
16061,Lewis County,ID,3838
16063,Lincoln County,ID,5366
16065,Madison County,ID,39907
16067,Minidoka County,ID,21039
16069,Nez Perce County,ID,40408
16071,Oneida County,ID,4531
16073,Owyhee County,ID,11823
16075,Payette County,ID,23951
16077,Power County,ID,7681
16079,Shoshone County,ID,12882
16081,Teton County,ID,12142
16083,Twin Falls County,ID,86878
16085,Valley County,ID,11392
16087,Washington County,ID,10194
